year,title,author,cover_image
2003,The In-Between World of Vikram Lall,M.G. Vassanji,http://books.google.com/books/content?id=9sBpeV2SXp0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Life of Pi,Yann Martel,http://books.google.com/books/content?id=bM79cwyK4woC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Crow Lake,Mary Lawson,http://books.google.com/books/content?id=MADI6smejFAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Unless,Carol Shields,http://books.google.com/books/content?id=wYBvmblKjAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Family Matters,Rohinton Mistry,http://books.google.com/books/content?id=8udfRgboahIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Clara Callan,Richard B. Wright,http://books.google.com/books/content?id=jGJ7KcIkGBUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,The Navigator of New York,Wayne Johnston,http://books.google.com/books/content?id=k_7a_w8qjJIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,The Last Crossing,Guy Vanderhaeghe,http://books.google.com/books/content?id=1Qrrja9ZEZIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Paris 1919: Six Months that Changed the World,Margaret MacMillan,http://books.google.com/books/content?id=dhKPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Dropped Threads: What We Aren't Told,"Carol Shields, Marjorie Anderson",http://books.google.com/books/content?id=Y6ERQPMpbUIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,The Right Man: The Surprise Presidency of George W. Bush,David Frum,http://books.google.com/books/content?id=LzGi031PvHIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Shake Hands With The Devil: The Failure of Humanity in Rwanda,Romeo Dallaire,http://books.google.com/books/content?id=tNKExJ3MBIQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,How to Be a Canadian,"Will Ferguson, Ian Ferguson",http://books.google.com/books/content?id=qhiqXtpNHFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2003,"Fire and Ice: The United States, Canada and the Myth of Converging Values",Michael Adams,http://books.google.com/books/content?id=2YZROQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2003,The Trouble with Islam,Irshad Manji,http://books.google.com/books/content?id=wb5InXNkDacC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Paris 1919: Six Months that Changed the World,Margaret MacMillan,http://books.google.com/books/content?id=dhKPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,Lucky Man: A Memoir,Michael J. Fox,http://books.google.com/books/content?id=FYmZAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,No Logo: Taking Aim at the Brand Bullies,Naomi Klein,http://books.google.com/books/content?id=Yq_WAUXqRAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2003,On Equilibrium,John Ralston Saul,http://books.google.com/books/content?id=w1QCBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,A Complicated Kindness,Miriam Toews,http://books.google.com/books/content?id=ftoREAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,The Way the Crow Flies,Ann-Marie MacDonald,http://books.google.com/books/content?id=enLBTNKB3AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,Runaway,Alice Munro,http://books.google.com/books/content?id=2rrCgLQtTtQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,The Last Light of the Sun,Guy Gavriel Kay,http://books.google.com/books/content?id=AykfPDwVr6kC&printsec=frontcover&img=1&zoom=1&source=gbs_api
2004,Vinyl Cafe Diaries,Stuart McLean,http://books.google.com/books/content?id=NUwsAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
2004,Life of Pi,Yann Martel,http://books.google.com/books/content?id=bM79cwyK4woC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,The Last Crossing,Guy Vanderhaeghe,http://books.google.com/books/content?id=1Qrrja9ZEZIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,The Way the Crow Flies,Ann-Marie MacDonald,http://books.google.com/books/content?id=enLBTNKB3AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2004,Oryx and Crake,Margaret Atwood,http://books.google.com/books/content?id=1GeHO2uy1XQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
